link,sha
https://github.com/AOSSIE-Org/Social-Street-Smart,ff947c7
https://github.com/Aiven-Open/pglookout,60f65b2
https://github.com/DIAGNijmegen/picai_eval,81d6067
https://github.com/GeoscienceAustralia/dea-waterbodies,203bde9
https://github.com/Haidra-Org/horde-safety,9683930
https://github.com/Intel-BMC/openbmc,ac27a50
https://github.com/Jong-hun-Park/trviz,1267d17
https://github.com/LSDOlab/lsdo_acoustics,095c95a
https://github.com/NoDataFound/SW_HAX,757cbd0
https://github.com/Noob-Saibot-227410/ferramenta-opensource-seguranca-aws-prowler-cloud,2c138d7
https://github.com/OpenMPDK/KVCeph,1f88576
https://github.com/SBRG/ssbio,08c1ce3
https://github.com/SudevShibu/prowler-s3-audit,f212e2d
https://github.com/Sujit-O/pykg2vec,492807b
https://github.com/Suresoft-GLaDOS/bugscpp,be5cc48
https://github.com/XUANTIE-RV/xuantie-yocto,97d9439
https://github.com/aaronlifshin/whysaurus,fde0564
https://github.com/alibaba/AliOS-Things-Linux-Edition,a78f191
https://github.com/amenezes/async_metrics,51496cc
https://github.com/appleparan/template.py,d5d7f44
https://github.com/atcit/actpy,5bfbc0a
https://github.com/brandondube/prysm,b463d08
https://github.com/ceonlabs/arcan-nixos-asahi,3f5fbcc
https://github.com/chmarti1/PYroMat,fba83f5
https://github.com/coinkite/BBQr,2e26d1d
https://github.com/couchbaselabs/couch-formation-core,c2509cd
https://github.com/dbcli/pgcli,5001f94
https://github.com/dev-at-rmfx/rmfx-resource-collector,c9736ef
https://github.com/emkor/audiopyle,ae61610
https://github.com/esc0rtd3w/firestick-loader-kodi-data,e4d7931
https://github.com/ezhov-evgeny/webdav-client-python-3,98c23d1
https://github.com/fedora-infra/fedocal,1c6026a
https://github.com/florimondmanca/djangorestframework-api-key,15ffd45
https://github.com/friendlyarm/linuxsdk-rockchip-yocto,62eff7b
https://github.com/gbiz123/shopee-captcha-solver,99298d7
https://github.com/ibm-openbmc/openbmc,798f9a3
https://github.com/jdholtz/auto-southwest-check-in,98152c0
https://github.com/jerrymakesjelly/autoremove-torrents,c55b43c
https://github.com/jgressier/cfdtools,f0b10c0
https://github.com/johnmaguire/Cardinal,d06682b
https://github.com/joshtemple/lkml,3b08d65
https://github.com/justmert/arbitrum-python-sdk,13560a7
https://github.com/keurfonluu/stochopy,4a26d91
https://github.com/ldv-klever/klever,dc714a3
https://github.com/lsst-ts/ts_xml,2cafbb1
https://github.com/mahantesh-nvidia/openbmc_2.6,d2e5ca9
https://github.com/merlinepedra/nano-tetra-modules,aa43cb5
https://github.com/nansen-ai/evmchain-etl-table-definitions,8532a13
https://github.com/nickfox-taterli/yocto-imx6-custom,3a76ed9
https://github.com/o3de/o3de,2a012af
https://github.com/opencomputeproject/Rack-Manager,e1a61d3
https://github.com/pcein/rpi-swupdate-2,efd3dcf
https://github.com/pdyba/lambdalizator,fa1d26e
https://github.com/prowler-cloud/prowler,763130f
https://github.com/przemyslawjanpietrzak/pyMonet,94610ee
https://github.com/pyfar/spharpy,b0e33c0
https://github.com/renzenicolai/openbmc-x570d4u,5bcd686
https://github.com/renzenicolai/openbmc-x570d4u-old,4deac3a
https://github.com/shannon-sys/mongodb,4501fa4
https://github.com/shinesolutions/aem-stack-manager-cloud,5d4e951
https://github.com/socialgene/sgpy,a557e9c
https://github.com/solita/sv-security-scans-02,535afe4
https://github.com/sopel-irc/sopel,c7693ca
https://github.com/spedagadi/tinkerboard-yocto-qt5-eglfs,0ff75ad
https://github.com/stephenmcd/mezzanine,e719286
https://github.com/supermicro/Supermicro-OpenBMC,03720bb
https://github.com/vragulin/Optimal_Exec_In_Comp,f0be417
https://github.com/xchwarze/wifi-pineapple-community,83a07c8
