project,url,sha
0HugoHu-HugoHu-Python-PySpark-57848da,https://github.com/0HugoHu/HugoHu-Python-PySpark,57848da
18F-identity-terraform-9eebc4d,https://github.com/18F/identity-terraform,9eebc4d
283375-arcaea-offline-9086133,https://github.com/283375/arcaea-offline,9086133
2pair-gdipak-d0d1bbc,https://github.com/2pair/gdipak,d0d1bbc
3D-e-Chem-kripodb-618cc4a,https://github.com/3D-e-Chem/kripodb,618cc4a
42-AI-42ai_autonomous_cars-1c5ee4f,https://github.com/42-AI/42ai_autonomous_cars,1c5ee4f
A-F-V-Refactoring-Agent-2d031cf,https://github.com/A-F-V/Refactoring-Agent,2d031cf
A3Data-hermione-c913f92,https://github.com/A3Data/hermione,c913f92
AATools-mq-metrics-pyclient-69c73d6,https://github.com/AATools/mq-metrics-pyclient,69c73d6
AHalarewicz-TimeSeriesAnalysis-de5ac0f,https://github.com/AHalarewicz/TimeSeriesAnalysis,de5ac0f
AIasd-FusED-8f9f4a7,https://github.com/AIasd/FusED,8f9f4a7
AOSSIE-Org-Social-Street-Smart-ff947c7,https://github.com/AOSSIE-Org/Social-Street-Smart,ff947c7
APS-Networks-bfrt-helper-7ea485a,https://github.com/APS-Networks/bfrt-helper,7ea485a
Abzinger-SxPID-55046f3,https://github.com/Abzinger/SxPID,55046f3
AdamCorbinFAUPhD-derm_ita-af89e9e,https://github.com/AdamCorbinFAUPhD/derm_ita,af89e9e
Adeniyilowee-CI-CD-with-Github-Actions-25c6364,https://github.com/Adeniyilowee/CI-CD-with-Github-Actions,25c6364
Aditya-1998k-CacheCraft-39b6213,https://github.com/Aditya-1998k/CacheCraft,39b6213
AgeOfLearning-upackage-b5b6d78,https://github.com/AgeOfLearning/upackage,b5b6d78
Ahmed-Khaled24-Gobblet-Game-d13db1d,https://github.com/Ahmed-Khaled24/Gobblet-Game,d13db1d
AimorYou-NeuroWeb-7af599e,https://github.com/AimorYou/NeuroWeb,7af599e
Aiven-Open-pglookout-60f65b2,https://github.com/Aiven-Open/pglookout,60f65b2
AlexOrlek-figleaf_fasta-2ac9d84,https://github.com/AlexOrlek/figleaf_fasta,2ac9d84
AlexRiina-checkmyreqs-66af15e,https://github.com/AlexRiina/checkmyreqs,66af15e
AlexanderJCS-golden-ea2c8d3,https://github.com/AlexanderJCS/golden,ea2c8d3
AlexandreSato-openpilot-mine-4a53d6d,https://github.com/AlexandreSato/openpilot-mine,4a53d6d
Alir3z4-html2text-8917f5c,https://github.com/Alir3z4/html2text,8917f5c
AllenInstitute-ecephys_spike_sorting-6210caa,https://github.com/AllenInstitute/ecephys_spike_sorting,6210caa
AlvaroMenduina-ZERN-8a085b6,https://github.com/AlvaroMenduina/ZERN,8a085b6
Amitabh1989-Design-Patterns-with-Python-001f9cb,https://github.com/Amitabh1989/Design-Patterns-with-Python,001f9cb
Anagraph-yogrt-6e4caf2,https://github.com/Anagraph/yogrt,6e4caf2
AndreMiras-PyWallet-97c665a,https://github.com/AndreMiras/PyWallet,97c665a
AndrewRPorter-flask-react-nginx-24f2bcf,https://github.com/AndrewRPorter/flask-react-nginx,24f2bcf
AntoineGagne-cmus-notify-e8f95c9,https://github.com/AntoineGagne/cmus-notify,e8f95c9
AnyVisionltd-automation-infra-6fb86ba,https://github.com/AnyVisionltd/automation-infra,6fb86ba
ApeWorX-apegenius-6a4058c,https://github.com/ApeWorX/apegenius,6a4058c
AppDaemon-appdaemon-9be468a,https://github.com/AppDaemon/appdaemon,9be468a
ArnovanHilten-GenNet-a1a9bf7,https://github.com/ArnovanHilten/GenNet,a1a9bf7
Arpitpandey992-VGMDB-Auto-Tagger-532a177,https://github.com/Arpitpandey992/VGMDB-Auto-Tagger,532a177
ArthurMitchell42-nutcase-e521f3c,https://github.com/ArthurMitchell42/nutcase,e521f3c
Ashut90-mongodb_connectorpkg-f777e21,https://github.com/Ashut90/mongodb_connectorpkg,f777e21
Avature-confight-ccbc8d3,https://github.com/Avature/confight,ccbc8d3
AxiMinds-LexCognition-6f166fb,https://github.com/AxiMinds/LexCognition,6f166fb
Azazel0203-ocr_captcha-aaf550f,https://github.com/Azazel0203/ocr_captcha,aaf550f
Azure-Samples-Azure-Python-Standardization-Template-Generator-6798b41,https://github.com/Azure-Samples/Azure-Python-Standardization-Template-Generator,6798b41
Azure-azure-sdk-tools-8ee51aa,https://github.com/Azure/azure-sdk-tools,8ee51aa
AzureAD-microsoft-authentication-extensions-for-python-4b90cc8,https://github.com/AzureAD/microsoft-authentication-extensions-for-python,4b90cc8
BME-MIT-IET-iet-hf-2022-idegtepo-e0dc809,https://github.com/BME-MIT-IET/iet-hf-2022-idegtepo,e0dc809
BU-NU-CLOUD-F19-Keylime-_Enabling_Trust_in_the_Cloud_QEMU-KVM-b735211,https://github.com/BU-NU-CLOUD-F19/Keylime-_Enabling_Trust_in_the_Cloud_QEMU-KVM,b735211
BadIdeaFactory-skyppy-00f9e90,https://github.com/BadIdeaFactory/skyppy,00f9e90
Bhuvaneswari-T-S3Bucket-e146214,https://github.com/Bhuvaneswari-T/S3Bucket,e146214
BoldBrowser-bold-browser-339a5de,https://github.com/BoldBrowser/bold-browser,339a5de
BrandonZacharie-Chess.py-4452802,https://github.com/BrandonZacharie/Chess.py,4452802
Breakthrough-PySceneDetect-63db02a,https://github.com/Breakthrough/PySceneDetect,63db02a
Bugs-Zero-HumanDoTask-9a9b194,https://github.com/Bugs-Zero/HumanDoTask,9a9b194
CATboardBETA-xtrmth-b88a615,https://github.com/CATboardBETA/xtrmth,b88a615
CCOMJHC-WIBL-23b66fd,https://github.com/CCOMJHC/WIBL,23b66fd
CERN-IT-INNOVATION-QuASK-3ac5bef,https://github.com/CERN-IT-INNOVATION/QuASK,3ac5bef
CERT-Polska-n6-8563ae4,https://github.com/CERT-Polska/n6,8563ae4
CI-CMG-bathy-app-5478350,https://github.com/CI-CMG/bathy-app,5478350
COVESA-iot-event-analytics-53c0e6a,https://github.com/COVESA/iot-event-analytics,53c0e6a
CUNY-CL-citylex-09539b8,https://github.com/CUNY-CL/citylex,09539b8
Celestial-Project-Celestial-Legacy-f6303fc,https://github.com/Celestial-Project/Celestial-Legacy,f6303fc
ChapSpace-CourseConstrainSolverBackend-6917506,https://github.com/ChapSpace/CourseConstrainSolverBackend,6917506
ChenyuGAO-CS-SMA-a1e2b4c,https://github.com/ChenyuGAO-CS/SMA,a1e2b4c
ChristopheCluizel-codingame-ffc368e,https://github.com/ChristopheCluizel/codingame,ffc368e
Cigna-ibis-f99e3b7,https://github.com/Cigna/ibis,f99e3b7
City-of-Helsinki-django-orghierarchy-8f3fa46,https://github.com/City-of-Helsinki/django-orghierarchy,8f3fa46
Ckend-scihub-cn-410acc1,https://github.com/Ckend/scihub-cn,410acc1
ClaireRuysschaert-P11_GUDLFT-77b04ea,https://github.com/ClaireRuysschaert/P11_GUDLFT,77b04ea
Clean-Cole-pysftp-659f98c,https://github.com/Clean-Cole/pysftp,659f98c
ClickHouse-ClickHouse-00be0ea,https://github.com/ClickHouse/ClickHouse,00be0ea
ClimateImpactLab-climate_toolbox-8b3eb27,https://github.com/ClimateImpactLab/climate_toolbox,8b3eb27
ClusterHQ-gentoo-788ab0e,https://github.com/ClusterHQ/gentoo,788ab0e
CodeAndCandlesticks-py-schwab-wrapper-35079a4,https://github.com/CodeAndCandlesticks/py-schwab-wrapper,35079a4
ComposioHQ-composio-de3e119,https://github.com/ComposioHQ/composio,de3e119
ConnectedHomes-chaim-68fa410,https://github.com/ConnectedHomes/chaim,68fa410
ConsumrBuzzy-RogueAsteroid-3822c72,https://github.com/ConsumrBuzzy/RogueAsteroid,3822c72
Cooperative-IA-CooperativeGPT-4c0cf95,https://github.com/Cooperative-IA/CooperativeGPT,4c0cf95
CroMarmot-oiTerminal-fd9931b,https://github.com/CroMarmot/oiTerminal,fd9931b
Czubbi-GraphNeuralNetworks-ICAPS-dbb1575,https://github.com/Czubbi/GraphNeuralNetworks-ICAPS,dbb1575
D0112-Llama3-Chinese-Doctor-9b0c0f1,https://github.com/D0112/Llama3-Chinese-Doctor,9b0c0f1
DIAGNijmegen-picai_eval-81d6067,https://github.com/DIAGNijmegen/picai_eval,81d6067
DIVA-DIA-DIVA-DAF-b5eec91,https://github.com/DIVA-DIA/DIVA-DAF,b5eec91
