project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,test_duration,time_create_monitor,end_to_end_time,total_violations,violations,unique_violations_count,total_events,events,total_monitors,monitors,violations_by_location,inst_and_monitor_time
0HugoHu-HugoHu-Python-PySpark,original,1.0,0.0,0.0,0.0,0.0,0,0.01,original,0.0,0.4834344387054443,0.0,0.4834344387054443,x,,,x,,x,x,,0.0
0HugoHu-HugoHu-Python-PySpark,D,1.0,0.0,0.0,0.0,0.0,0,0.18,pymop_no_gc,0.1470875740051269,1.9973220825195312,0.3574464321136474,2.5018560886383057,33,KeyInList=33,KeyInList=3;,59,NLTK_NonterminalSymbolMutability=nonterminal_created=26<>KeyInList=list_contains=33,33,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>KeyInList=2,/usr/lib/python3.12/logging/__init__.py:1708=17;/usr/lib/python3.12/logging/__init__.py:1719=15;/workspace/0HugoHu-HugoHu-Python-PySpark_PyMOP/HugoHu-Python-PySpark/venv/lib/python3.12/site-packages/typing_extensions.py:3504=1,0.5045340061187743
0HugoHu-HugoHu-Python-PySpark,D,1.0,0.0,0.0,0.0,0.0,0,0.18,pymop_gc,0.1456055641174316,2.0608551502227783,0.3660063743591308,2.572467088699341,33,KeyInList=33,KeyInList=3;,59,NLTK_NonterminalSymbolMutability=nonterminal_created=26<>KeyInList=list_contains=33,33,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>KeyInList=2,/usr/lib/python3.12/logging/__init__.py:1708=17;/usr/lib/python3.12/logging/__init__.py:1719=15;/workspace/0HugoHu-HugoHu-Python-PySpark_PyMOP_GC/HugoHu-Python-PySpark/venv/lib/python3.12/site-packages/typing_extensions.py:3504=1,0.5116119384765624
18F-identity-terraform,original,0.0,0.0,0.0,0.0,0.0,2,0.04,original,0.0,0.1979923248291015,0.0,0.1979923248291015,x,,,x,,x,x,,0.0
18F-identity-terraform,D,0.0,0.0,0.0,0.0,0.0,2,0.18,pymop_no_gc,0.075038194656372,1.1003150939941406,0.3141238689422607,1.4894771575927734,14,KeyInList=14,KeyInList=2;,30,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=14,22,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=1,/usr/lib/python3.12/logging/__init__.py:1708=8;/usr/lib/python3.12/logging/__init__.py:1719=6,0.3891620635986327
18F-identity-terraform,D,0.0,0.0,0.0,0.0,0.0,2,0.18,pymop_gc,0.0744218826293945,1.2001445293426514,0.3177435398101806,1.5923099517822266,14,KeyInList=14,KeyInList=2;,30,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=14,22,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=1,/usr/lib/python3.12/logging/__init__.py:1708=8;/usr/lib/python3.12/logging/__init__.py:1719=6,0.3921654224395751
283375-arcaea-offline,original,3.0,0.0,0.0,0.0,0.0,0,0.3,original,0.0,0.5297143459320068,0.0,0.5297143459320068,x,,,x,,x,x,,0.0
283375-arcaea-offline,D,3.0,0.0,0.0,0.0,0.0,0,2.74,pymop_no_gc,0.0716693401336669,3.7697553634643555,0.3193807601928711,4.1608054637908936,843,KeyInList=843,KeyInList=10;,971,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=843<>Pydocs_MustReleaseLock=acquire=56<>Pydocs_MustReleaseLock=release=56,438,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=412<>Pydocs_MustReleaseLock=5,/usr/lib/python3.12/logging/__init__.py:1708=35;/usr/lib/python3.12/logging/__init__.py:1719=33;/usr/lib/python3.12/enum.py:444=146;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3504=192;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3525=275;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:597=1;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:1697=149;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/dateutil/__init__.py:15=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1732=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/topological.py:105=8,0.391050100326538
283375-arcaea-offline,D,3.0,0.0,0.0,0.0,0.0,0,2.76,pymop_gc,0.0726726055145263,3.824533224105835,0.3197102546691894,4.216916084289551,843,KeyInList=843,KeyInList=10;,971,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=843<>Pydocs_MustReleaseLock=acquire=56<>Pydocs_MustReleaseLock=release=56,433,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=407<>Pydocs_MustReleaseLock=5,/usr/lib/python3.12/logging/__init__.py:1708=35;/usr/lib/python3.12/logging/__init__.py:1719=33;/usr/lib/python3.12/enum.py:444=146;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3504=192;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3525=275;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:597=1;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:1697=149;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/dateutil/__init__.py:15=2;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1732=2;/workspace/283375-arcaea-offline_PyMOP_GC/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/topological.py:105=8,0.3923828601837157
2pair-gdipak,original,100.0,0.0,0.0,0.0,0.0,0,0.14,original,0.0,0.2738046646118164,0.0,0.2738046646118164,x,,,x,,x,x,,0.0
