project,original,b,c,c+,d
0HugoHu-HugoHu-Python-PySpark,0.03,0.66,0.63,0.59,0.59
18F-identity-terraform,0.96,10.88,7.51,7.55,6.38
283375-arcaea-offline,0.64,20.22,19.37,19.36,19.87
2pair-gdipak,1.68,13.56,9.67,9.02,8.05
3D-e-Chem-kripodb,2.24,26.75,8.18,8.4,7.25
42-AI-42ai_autonomous_cars,0.6,3.22,2.45,2.58,2.5
A-F-V-Refactoring-Agent,0.03,0.64,0.6,0.74,0.9
A3Data-hermione,13.87,69.17,57.68,58.68,59.45
AATools-mq-metrics-pyclient,0.36,2.0,1.69,1.67,1.61
AHalarewicz-TimeSeriesAnalysis,0.07,0.72,0.66,0.62,0.62
AIasd-FusED,2.53,221.5,119.16,116.23,61.39
AInixProject-AInix,1.57,60.36,18.05,17.78,18.78
AOSSIE-Org-Social-Street-Smart,8.89,313.05,222.31,239.49,139.49
APS-Networks-bfrt-helper,1.56,12.27,7.38,7.24,7.93
Abzinger-SxPID,0.73,14.44,9.43,10.46,9.14
AdamCorbinFAUPhD-derm_ita,1.2,3.72,3.5,3.66,3.6
Adeniyilowee-CI-CD-with-Github-Actions,0.22,4.54,4.42,4.27,4.31
Aditya-1998k-CacheCraft,1.56,2.35,2.28,2.47,2.29
AgeOfLearning-upackage,0.04,0.9,0.82,0.75,1.73
Ahmed-Khaled24-Gobblet-Game,0.26,1.43,1.39,1.29,1.28
AimorYou-NeuroWeb,0.16,1.22,0.99,0.96,0.96
Aiven-Open-pglookout,1.96,194.58,125.13,138.87,127.25
AlexOrlek-figleaf_fasta,0.06,0.96,0.87,0.85,0.86
AlexRiina-checkmyreqs,0.03,0.78,0.73,0.69,0.7
AlexanderJCS-golden,2.02,187.84,88.17,88.81,91.6
AlexandreSato-openpilot-mine,2.4,36.24,18.01,17.77,15.6
Alir3z4-html2text,5.91,101.81,60.01,60.87,56.18
AllenInstitute-ecephys_spike_sorting,0.28,1.81,1.54,1.49,1.47
AlvaroMenduina-ZERN,4.75,153.69,102.02,93.06,54.62
Amitabh1989-Design-Patterns-with-Python,6.17,7.38,7.28,7.12,7.35
Amsterdam-signals,25.49,3108.32,2851.49,2955.83,2674.07
Anagraph-yogrt,2.3,5.79,5.38,6.23,6.34
AndreMiras-PyWallet,0.27,1.16,1.04,1.04,1.01
AndrewRPorter-flask-react-nginx,0.14,0.99,0.82,0.83,0.8
AntoineGagne-cmus-notify,0.08,1.06,0.95,0.97,0.93
AnyVisionltd-automation-infra,23.44,26.73,26.27,26.4,26.24
ApeWorX-apegenius,0.86,26.27,12.95,12.41,6.16
AppDaemon-appdaemon,0.89,30.3,9.62,9.44,5.22
Appdynamics-OSS,86.94,17272.45,12322.42,12085.66,4174.78
Apt-Get-SWE-SWEProject-Aptget,0.45,2.04,1.88,1.72,1.8
ArnovanHilten-GenNet,6.52,193.2,173.74,189.3,89.87
Arpitpandey992-VGMDB-Auto-Tagger,0.19,2.13,1.67,1.5,1.49
ArthurMitchell42-nutcase,12.81,196.74,77.2,90.18,53.21
Ashut90-mongodb_connectorpkg,0.04,0.99,0.94,0.94,0.95
Avature-confight,1.27,12.99,10.26,9.56,9.57
AxiMinds-LexCognition,0.19,1.21,1.09,1.07,1.07
Azazel0203-ocr_captcha,0.06,1.11,1.04,1.01,1.06
Azure-Samples-Azure-Python-Standardization-Template-Generator,108.03,1514.2,601.98,573.5,286.88
Azure-azure-sdk-tools,11.37,31.18,18.91,24.54,19.77
AzureAD-microsoft-authentication-extensions-for-python,7.74,22.3,19.04,20.27,19.63
BME-MIT-IET-iet-hf-2022-idegtepo,4.75,69.4,18.74,18.26,15.91
BU-NU-CLOUD-F19-Keylime-_Enabling_Trust_in_the_Cloud_QEMU-KVM,0.46,2.04,1.71,1.56,1.56
BadIdeaFactory-skyppy,0.49,2.47,1.99,2.0,1.92
Bhuvaneswari-T-S3Bucket,5.45,84.9,47.33,47.12,29.46
BoldBrowser-bold-browser,0.26,4.81,4.43,4.38,4.31
BrandonZacharie-Chess.py,2.0,11.08,9.64,8.43,9.16
Breakthrough-PySceneDetect,19.44,34.21,28.45,30.05,27.84
Bugs-Zero-HumanDoTask,0.3,1.85,1.77,1.68,1.77
C4RR0T02-AdminGuard,2.67,129.2,90.37,88.86,79.38
CATboardBETA-xtrmth,0.11,0.99,0.9,0.87,0.9
CCOMJHC-WIBL,9.0,24.21,19.09,19.64,18.38
CDL-Quantum-Hackathon2021,0.32,1.33,1.2,1.14,1.12
CERN-IT-INNOVATION-QuASK,5.68,3.36,2.73,2.67,2.58
CERT-Polska-n6,2.49,9.84,6.68,6.95,5.67
CI-CMG-bathy-app,0.67,5.1,4.02,4.09,3.8
CKIP-Joint-Evaluator,1.9,4.27,3.38,3.37,3.01
