project,original,b,c,c+,d
lj020326-ansible-datacenter,4.97,141.47,76.48,76.9,87.09
ArnovanHilten-GenNet,6.52,193.2,173.74,189.3,89.87
se-sic-VaRA-Tool-Suite,6.77,221.81,151.15,168.67,90.12
star-whale-starwhale,8.48,162.29,131.48,134.48,91.93
vk496-zisofs2-tools,6.21,208.09,93.1,93.46,91.72
Julian-Borbeck-autoplier,5.52,177.08,167.74,160.06,91.76
CodeAndCandlesticks-py-schwab-wrapper,0.72,112.44,92.07,91.93,87.55
opencomputeproject-Rack-Manager,9.62,512.74,241.85,245.65,96.66
glideinWMS-glideinwms,179.81,735.49,328.27,358.55,266.98
GSA-mysql_to_cloudwatch,1.0,114.61,91.18,91.62,88.72
brews-baysplinepy,50.28,276.87,207.39,193.48,138.79
o3de-o3de,12.51,425.7,240.99,241.65,101.1
boardpack-cookiecutter-pyboardpack,2.84,186.43,108.81,109.13,91.69
AlexanderJCS-golden,2.02,187.84,88.17,88.81,91.6
liujiamingustc-phd,15.29,1528.51,195.63,192.26,105.83
alefnula-tea,8.02,139.5,100.69,106.4,98.67
airwick989-Autonomous-Vehicle-Simulation-and-Testing-Bench,8.94,810.38,172.04,176.93,99.61
lyft-nuscenes-devkit,8.74,397.13,158.46,174.4,99.9
pyfar-pyrato,71.51,261.1,200.35,204.53,163.85
elifesciences-data-hub-ejp-xml-pipeline,3.72,150.42,103.93,102.74,98.86
shannon-sys-mongodb,16.86,2734.18,255.46,215.45,116.26
armandtvz-python-payfast,12.38,127.33,107.27,105.91,114.87
NoDataFound-SW_HAX,2.21,143.42,105.75,112.8,105.0
andrewharle-mongodb,18.02,2773.47,287.97,254.65,121.87
oasis-open-cti-pattern-matcher,67.68,535.52,196.99,197.94,173.2
ReaJason-xhs,19.58,172.12,153.14,147.0,125.5
anushakuppahally-spotify-api-project,2.51,177.08,146.8,150.23,111.1
motional-nuplan-devkit,5.96,275.19,298.86,247.88,114.7
oakleighw-supervision_litt_polygon_count_accumulate-,1.71,237.98,167.14,181.36,111.77
Intel-BMC-openbmc,9.88,583.94,316.03,297.7,119.95
raphychek-mbappe-nuplan,7.27,271.56,224.93,263.74,118.25
HorizonRobotics-nuplan-devkit,6.7,293.79,234.23,231.46,118.17
renzenicolai-openbmc-x570d4u,10.97,635.48,310.48,357.37,123.72
supermicro-Supermicro-OpenBMC,10.71,597.74,313.81,308.82,124.23
NOAA-ORR-ERD-gridded,15.3,440.14,235.54,233.57,129.97
renzenicolai-openbmc-x570d4u-old,10.91,689.89,319.6,380.83,128.65
SBRG-ssbio,5.48,203.99,188.3,169.59,125.82
blacklanternsecurity-bls-bible,2.47,213.18,124.05,127.04,124.26
jingw-pyhdfs,1678.25,1821.64,1797.34,1835.26,1802.61
Aiven-Open-pglookout,1.96,194.58,125.13,138.87,127.25
xchwarze-wifi-pineapple-community,11.38,603.2,253.86,271.26,136.99
mbagagli-filterpicker,4.73,217.92,194.61,205.44,130.8
hak5-nano-tetra-modules,10.52,550.04,243.98,282.03,137.63
AOSSIE-Org-Social-Street-Smart,8.89,313.05,222.31,239.49,139.49
chilli-axe-mpc-autofill,847.02,1498.98,1511.66,1218.91,978.37
openstack-charm-nova-cloud-controller,18.01,784.11,361.88,304.28,151.44
merlinepedra-nano-tetra-modules,10.54,544.58,256.45,257.62,144.12
gbiz123-shopee-captcha-solver,127.34,433.3,275.23,302.51,261.49
emkor-audiopyle,3.11,225.25,146.28,164.09,139.83
ibm-openbmc-openbmc,11.05,641.74,331.34,315.19,149.72
justmert-arbitrum-python-sdk,48.45,377.33,262.83,287.07,187.43
jdholtz-auto-southwest-check-in,6.2,469.65,180.79,242.5,146.68
astroML-astroML,103.36,959.0,485.68,448.1,245.72
shinesolutions-aem-stack-manager-cloud,17.81,992.26,232.17,325.53,160.53
Capitains-MyCapytain,11.61,1267.8,411.67,377.32,155.22
aaronlifshin-whysaurus,4.95,13804.63,369.14,276.48,149.77
algorithmcardboard-grasp-lift-eeg-cat-dog-solution-updated,20.41,15733.52,532.12,373.45,168.7
libredesarrollo-curso-libro-flask-base,5.48,204.48,161.9,158.86,156.59
LSDOlab-lsdo_acoustics,2.42,267.88,223.46,222.94,154.41
python-hydro-pyro2,3.74,264.11,194.18,212.39,158.68
florimondmanca-djangorestframework-api-key,15.79,409.13,257.61,286.97,171.11
openSUSE-py2pack,9.82,240.22,176.01,175.6,166.61
Jong-hun-Park-trviz,2.91,326.24,244.18,227.92,163.01
esc0rtd3w-firestick-loader-kodi-data,30.59,707.18,422.76,441.56,192.11
atcit-actpy,12.15,820.71,206.79,220.39,175.29
redwoodresearch-Measurement-Tampering,0.79,4345.21,595.1,318.98,165.68
brandondube-prysm,28.26,857.46,303.26,316.42,195.88
a0x8o-presto,20.48,882.21,494.88,474.93,194.32
epam-badgerdoc,2.39,217.88,178.09,182.04,178.93
pywbem-pywbemtools,171.93,1165.76,377.39,389.41,349.44
Azure-Samples-Azure-Python-Standardization-Template-Generator,108.03,1514.2,601.98,573.5,286.88
Noob-Saibot-227410-ferramenta-opensource-seguranca-aws-prowler-cloud,27.75,692.09,309.56,337.45,208.31
rnhuni-ProyectoFinal2-Grupo03,13.8,685.26,468.07,470.23,203.86
OpenMPDK-KVCeph,51.17,1858.93,334.43,330.77,243.84
Sujit-O-pykg2vec,245.27,581.35,454.43,438.32,439.42
SAP-project-kb,43.16,9047.52,352.72,584.15,239.99
Suresoft-GLaDOS-bugscpp,353.51,703.72,585.61,619.08,550.92
DataDog-guarddog,1994.59,2270.06,2182.3,2218.85,2198.03
spedagadi-tinkerboard-yocto-qt5-eglfs,36.03,4590.08,557.26,589.81,244.99
pcein-rpi-swupdate-2,35.94,4549.29,558.29,638.63,248.17
appleparan-template.py,0.69,239.31,215.67,215.62,214.84
gruns-furl,6.6,1025.13,621.61,632.79,222.06
spedagadi-yocto-tinkerboard,36.53,4983.37,565.29,520.89,253.96
johnmaguire-Cardinal,10.34,681.39,443.55,447.35,232.18
