project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,test_duration,time_create_monitor,end_to_end_time,total_violations,violations,unique_violations_count,total_events,events,total_monitors,monitors,violations_by_location,passed_numeric
0HugoHu-HugoHu-Python-PySpark,original,1,0,0,0,0,0,0.01,original,0.0,0.4814565181732178,0.0,0.4814565181732178,x,,,x,,x,x,,1
0HugoHu-HugoHu-Python-PySpark,D,1,0,0,0,0,0,0.20,monkey patching,0.14797353744506836,2.055265426635742,0.43318629264831543,2.636425256729126,0,,,142,NLTK_NonterminalSymbolMutability=nonterminal_created=26<>UnsafeListIterator=createList=49<>UnsafeMapIterator=createMap=62<>UnsafeMapIterator=updateMap=5,120,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=26<>UnsafeListIterator=44<>socket_socket_settimeout=1<>UnsafeMapIterator=44,,1
0HugoHu-HugoHu-Python-PySpark,D,1,0,0,0,0,0,0.18,curse,0.14560556411743164,2.0608551502227783,0.36600637435913086,2.572467088699341,33,KeyInList=33,KeyInList=3;,59,NLTK_NonterminalSymbolMutability=nonterminal_created=26<>KeyInList=list_contains=33,33,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>KeyInList=2,/usr/lib/python3.12/logging/__init__.py:1708=17;/usr/lib/python3.12/logging/__init__.py:1719=15;/workspace/0HugoHu-HugoHu-Python-PySpark_PyMOP/HugoHu-Python-PySpark/venv/lib/python3.12/site-packages/typing_extensions.py:3504=1,1
0HugoHu-HugoHu-Python-PySpark,D,1,0,0,0,0,0,0.20,ast,10.622292647125244,1.527607312438965,0.38556385040283203,12.535463809967041,1,KeyInList=1,KeyInList=1;,27,NLTK_NonterminalSymbolMutability=nonterminal_created=26<>KeyInList=list_contains=1,33,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=26<>socket_socket_settimeout=1<>KeyInList=1,/workspace/0HugoHu-HugoHu-Python-PySpark_PyMOP/HugoHu-Python-PySpark/venv/lib/python3.12/site-packages/typing_extensions.py:3504=1,1
283375-arcaea-offline,original,3,0,0,0,0,0,0.30,original,0.0,0.5307412147521973,0.0,0.5307412147521973,x,,,x,,x,x,,3
283375-arcaea-offline,D,3,0,0,0,0,0,5.62,monkey patching,0.07228779792785645,6.697546720504761,0.37087273597717285,7.14070725440979,0,,,1884,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>UnsafeListIterator=createList=148<>UnsafeMapIterator=createMap=410<>UnsafeMapIterator=updateMap=1198<>Pydocs_MustReleaseLock=acquire=56<>Pydocs_MustReleaseLock=release=56,544,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>UnsafeListIterator=137<>UnsafeMapIterator=380<>Pydocs_MustReleaseLock=5,,3
283375-arcaea-offline,D,3,0,0,0,0,0,2.76,curse,0.07267260551452637,3.824533224105835,0.31971025466918945,4.216916084289551,843,KeyInList=843,KeyInList=10;,971,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=843<>Pydocs_MustReleaseLock=acquire=56<>Pydocs_MustReleaseLock=release=56,433,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=407<>Pydocs_MustReleaseLock=5,/usr/lib/python3.12/logging/__init__.py:1708=35;/usr/lib/python3.12/logging/__init__.py:1719=33;/usr/lib/python3.12/enum.py:444=146;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3504=192;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3525=275;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:597=1;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:1697=149;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/dateutil/__init__.py:15=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1732=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/topological.py:105=8,3
283375-arcaea-offline,D,3,0,0,0,0,0,10.31,ast,11.048927500656127,3.5056252928466805,0.3574197292327881,14.911972522735596,483,KeyInList=483,KeyInList=9;,641,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=483<>Pydocs_MustReleaseLock=acquire=68<>Pydocs_MustReleaseLock=release=68<>UnsafeListIterator=createList=3<>UnsafeMapIterator=createMap=3,465,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=426<>Pydocs_MustReleaseLock=11<>UnsafeListIterator=3<>UnsafeMapIterator=3,/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3504=192;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:3525=275;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/typing_extensions.py:597=1;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/dateutil/__init__.py:15=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/calculate/world_step.py:84=1;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/arcaea_offline/calculate/world_step.py:94=1;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1732=2;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/venv/lib/python3.12/site-packages/sqlalchemy/util/topological.py:105=8;/workspace/283375-arcaea-offline_PyMOP/arcaea-offline/tests/db/models/test_songs.py:106=1,3
2pair-gdipak,original,100,0,0,0,0,0,0.20,original,0.0,0.36238741874694824,0.0,0.36238741874694824,x,,,x,,x,x,,100
2pair-gdipak,D,100,0,0,0,0,0,0.80,monkey patching,0.07268834114074707,1.7728619575500488,0.3569149971008301,2.202465295791626,538,RandomMustUseSeed=538,RandomMustUseSeed=7;,1935,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>UnsafeListIterator=createList=460<>UnsafeMapIterator=createMap=286<>UnsafeMapIterator=updateMap=419<>RandomMustUseSeed=all=538<>ArgParse_Parent=created=27<>ArgParse_Parent=argument_added=189,607,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>UnsafeListIterator=332<>UnsafeMapIterator=225<>RandomMustUseSeed=1<>ArgParse_Parent=27,/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:93=211;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:71=41;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:74=41;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:18=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:19=116;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:57=10;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:70=118,100
2pair-gdipak,D,100,0,0,0,0,0,0.94,curse,0.0726771354675293,1.9516263008117676,0.3195219039916992,2.343825340270996,2597,KeyInList=2262;RandomMustUseSeed=335,KeyInList=20;RandomMustUseSeed=7;,2829,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>KeyInList=list_contains=2262<>RandomMustUseSeed=all=335<>ArgParse_Parent=created=27<>ArgParse_Parent=argument_added=189,325,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>KeyInList=276<>RandomMustUseSeed=1<>ArgParse_Parent=27,/usr/lib/python3.12/logging/__init__.py:1708=908;/usr/lib/python3.12/logging/__init__.py:1719=906;/usr/lib/python3.12/enum.py:444=4;/usr/lib/python3.12/gettext.py:490=140;/usr/lib/python3.12/gettext.py:496=140;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:239=125;/usr/lib/python3.12/typing.py:286=2;/usr/lib/python3.12/typing.py:290=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:105=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:106=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:116=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:117=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:82=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:84=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:97=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:99=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:114=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:116=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:130=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_packer.py:132=4;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:93=149;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:71=34;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:74=34;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:18=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:19=58;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:57=3;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:70=56,100
2pair-gdipak,D,100,0,0,0,0,0,1.14,ast,3.3323483868255614,1.9793934420928956,0.3511316776275635,5.6628735065460205,384,RandomMustUseSeed=255;KeyInList=129,RandomMustUseSeed=7;KeyInList=5;,2181,NLTK_NonterminalSymbolMutability=nonterminal_created=16<>UnsafeListIterator=createList=438<>UnsafeListIterator=updateList=689<>UnsafeMapIterator=createMap=438<>RandomMustUseSeed=all=255<>ArgParse_Parent=created=27<>ArgParse_Parent=argument_added=189<>KeyInList=list_contains=129,950,CreateWidgetOnSameFrameCanvas=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=16<>socket_socket_settimeout=1<>UnsafeListIterator=438<>UnsafeMapIterator=438<>RandomMustUseSeed=1<>ArgParse_Parent=27<>KeyInList=24,/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:93=133;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:71=34;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:74=34;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:18=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_gdi_converter.py:19=10;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:57=3;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:70=40;/workspace/2pair-gdipak_PyMOP/gdipak/tests/testing_utils.py:239=125;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:105=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:106=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:116=1;/workspace/2pair-gdipak_PyMOP/gdipak/tests/unit/test_file_utils.py:117=1,100
3D-e-Chem-kripodb,original,24,4,0,0,0,13,0.86,original,0.0,1.1776726245880127,0.0,1.1776726245880127,x,,,x,,x,x,,24
